Date,Open,High,Low,Close,Adj Close,Volume
2012-01-01,4.58,5.0,4.58,5.0,5.0,0.0
2012-01-02,5.0,5.0,5.0,5.0,5.0,0.0
2012-01-03,5.0,5.32,5.0,5.29,5.29,0.0
2012-01-04,5.29,5.57,4.93,5.57,5.57,0.0
2012-01-05,5.37,6.65,5.37,6.65,6.65,0.0
2012-01-06,6.65,6.9,6.0,6.0,6.0,0.0
2012-01-07,6.0,6.8,6.0,6.8,6.8,0.0
2012-01-08,6.8,7.0,6.8,7.0,7.0,0.0
2012-01-09,7.0,7.0,6.23,6.3,6.3,0.0
2012-01-10,6.3,7.14,6.24,7.14,7.14,0.0
2012-01-11,7.14,7.33,6.25,7.0,7.0,0.0
2012-01-12,7.0,7.38,6.51,6.51,6.51,0.0
2012-01-13,6.51,7.36,6.51,6.6,6.6,0.0
2012-01-14,6.6,6.6,6.3,6.3,6.3,0.0
2012-01-15,6.3,7.15,6.3,7.15,7.15,0.0
2012-01-16,7.15,7.15,6.2,7.1,7.1,0.0
2012-01-17,7.1,7.1,6.0,6.0,6.0,0.0
2012-01-18,6.0,7.1,5.99,7.1,7.1,0.0
2012-01-19,7.1,7.1,5.52,6.22,6.22,0.0
2012-01-20,6.22,6.95,6.22,6.95,6.95,0.0
2012-01-21,6.95,6.95,6.28,6.77,6.77,0.0
2012-01-22,6.77,6.83,6.03,6.79,6.79,0.0
2012-01-23,6.79,6.79,6.0,6.52,6.52,0.0
2012-01-24,6.52,6.57,6.0,6.55,6.55,0.0
2012-01-25,6.55,6.86,6.0,6.31,6.31,0.0
2012-01-26,6.31,6.31,5.5,5.5,5.5,0.0
2012-01-27,5.5,6.03,3.8,5.88,5.88,0.0
2012-01-28,5.88,5.88,4.91,4.91,4.91,0.0
2012-01-29,4.91,5.9,4.91,5.5,5.5,0.0
2012-01-30,5.5,5.58,5.3,5.58,5.58,0.0
2012-01-31,5.58,6.22,3.8,5.3,5.3,0.0
2012-02-01,5.3,5.99,5.3,5.88,5.88,0.0
2012-02-02,5.88,6.28,5.88,6.28,6.28,0.0
2012-02-03,6.28,6.35,5.93,6.3,6.3,0.0
2012-02-04,6.3,6.5,5.94,5.94,5.94,0.0
